Frame ID,ArUCo ID,ArUCo 2D,ArUCo 3D (dist yaw pitch roll)
481,4,"[[479.0, 234.0], [495.0, 232.0], [496.0, 249.0], [480.0, 250.0]]","[2.789212085768468, -3.445804840271082, 17.089245027380162, 179.56656288201242]"
481,7,"[[380.0, 310.0], [379.0, 297.0], [393.0, 295.0], [394.0, 309.0]]","[3.4175040283956024, -95.29415383356262, -1.40108715155439, -178.67343404536683]"
482,4,"[[476.0, 238.0], [493.0, 236.0], [494.0, 254.0], [476.0, 255.0]]","[2.569714553572919, -3.3603113942814775, 14.915650815333375, 171.79845764949724]"
483,4,"[[467.0, 193.0], [485.0, 192.0], [485.0, 211.0], [468.0, 212.0]]","[2.4649072992016783, -6.833466704415406, -20.07106262068602, -165.1887486940565]"
484,4,"[[462.0, 202.0], [480.0, 202.0], [480.0, 221.0], [462.0, 221.0]]","[2.4666168244949445, 2.684673340407586, 17.851806845868644, -171.39197469972146]"
484,7,"[[356.0, 279.0], [356.0, 265.0], [371.0, 265.0], [371.0, 280.0]]","[3.108756599072214, -87.969103983442, 19.00448624721278, -179.6416970551347]"
485,10,"[[899.0, 213.0], [912.0, 210.0], [912.0, 251.0], [898.0, 252.0]]","[1.2860960512875794, 150.86847669814236, 80.60766844940267, -28.017850385778438]"
485,4,"[[467.0, 214.0], [485.0, 214.0], [485.0, 233.0], [467.0, 234.0]]","[2.387332666308301, -4.7330104109026525, -20.85308324712163, -167.1500491094203]"
485,7,"[[360.0, 294.0], [359.0, 278.0], [374.0, 278.0], [375.0, 293.0]]","[2.9789311499334628, -93.6586822271619, 0.11044124539912599, -157.3198052144417]"
486,10,"[[901.0, 235.0], [916.0, 232.0], [916.0, 275.0], [901.0, 276.0]]","[1.2200817143464997, 155.97706372748868, 81.89004769699355, -22.715794900987188]"
486,4,"[[449.0, 242.0], [468.0, 241.0], [469.0, 261.0], [450.0, 261.0]]","[2.3651025932401586, -0.016634782600620058, 14.090072039227792, -168.26707765711322]"
